S-32D Kaldi 10 0.3 S:4, I:1, D:1
S-32D Google 11 0.4571 S:12, I:8, D:12
S-32D Kaldi 11 0.2429 S:4, I:7, D:6
S-22B Google 0 0.4346 S:36, I:2, D:65
S-22B Kaldi 0 0.2532 S:36, I:5, D:19
S-22B Google 1 0.3465 S:33, I:3, D:52
S-22B Kaldi 1 0.2205 S:34, I:10, D:12
S-22B Google 2 0.3813 S:104, I:8, D:116
S-22B Kaldi 2 0.2207 S:82, I:21, D:29
S-22B Google 3 0.375 S:32, I:1, D:66
S-22B Kaldi 3 0.1856 S:30, I:6, D:13
S-22B Google 4 0.4401 S:53, I:1, D:104
S-22B Kaldi 4 0.2451 S:40, I:7, D:41
S-22B Google 5 0.3954 S:49, I:5, D:101
S-22B Kaldi 5 0.1939 S:44, I:13, D:19
S-22B Google 6 0.4324 S:7, I:0, D:9
S-22B Kaldi 6 0.2432 S:4, I:0, D:5
S-22B Google 7 0.2692 S:22, I:2, D:25
S-22B Kaldi 7 0.1758 S:21, I:1, D:10
S-22B Google 8 0.364 S:33, I:1, D:57
S-22B Kaldi 8 0.18 S:27, I:1, D:17
S-22B Google 9 0.2549 S:2, I:0, D:11
S-22B Kaldi 9 0.1176 S:3, I:0, D:3
S-22B Google 10 0.3005 S:33, I:2, D:29
S-22B Kaldi 10 0.1972 S:30, I:3, D:9
S-22B Google 11 0.3945 S:41, I:3, D:42
S-22B Kaldi 11 0.2018 S:27, I:7, D:10
S-4D Google 0 0.5604 S:116, I:11, D:193
S-4D Kaldi 0 0.4151 S:134, I:17, D:86
S-4D Google 1 0.5826 S:113, I:2, D:167
S-4D Kaldi 1 0.4174 S:120, I:12, D:70
S-4D Google 2 0.5424 S:78, I:1, D:113
S-4D Kaldi 2 0.3729 S:66, I:7, D:59
S-4D Google 3 0.5308 S:89, I:2, D:116
S-4D Kaldi 3 0.3538 S:66, I:5, D:67
S-4D Google 4 0.5236 S:117, I:6, D:143
S-4D Kaldi 4 0.3602 S:86, I:11, D:86
S-4D Google 5 0.5886 S:123, I:3, D:153
S-4D Kaldi 5 0.3797 S:98, I:14, D:68
S-8D Google 0 0.4175 S:37, I:4, D:78
S-8D Kaldi 0 0.2035 S:37, I:7, D:14
S-8D Google 1 0.3296 S:32, I:0, D:57
S-8D Kaldi 1 0.1704 S:29, I:1, D:16
S-8D Google 2 0.3034 S:38, I:1, D:103
S-8D Kaldi 2 0.1752 S:42, I:8, D:32
S-8D Google 3 0.3879 S:58, I:3, D:145
S-8D Kaldi 3 0.2731 S:81, I:3, D:61
S-8D Google 4 0.3578 S:83, I:7, D:110
S-8D Kaldi 4 0.2182 S:71, I:11, D:40
S-8D Google 5 0.3096 S:63, I:2, D:87
S-8D Kaldi 5 0.167 S:50, I:8, D:24
S-3C Google 0 0.3644 S:43, I:2, D:45
S-3C Kaldi 0 0.3279 S:38, I:13, D:30
S-3C Google 1 0.3827 S:18, I:3, D:41
S-3C Kaldi 1 0.321 S:30, I:5, D:17
S-3C Google 2 0.4541 S:53, I:5, D:125
S-3C Kaldi 2 0.2779 S:54, I:2, D:56
S-3C Google 3 0.3108 S:41, I:5, D:32
S-3C Kaldi 3 0.2032 S:29, I:8, D:14
S-3C Google 4 0.382 S:85, I:11, D:82
S-3C Kaldi 4 0.2232 S:61, I:8, D:35
S-3C Google 5 0.3746 S:38, I:0, D:71
S-3C Kaldi 5 0.2887 S:40, I:3, D:41
S-12D Google 0 0.5312 S:26, I:2, D:40
S-12D Kaldi 0 0.3203 S:26, I:2, D:13
S-12D Google 1 0.5494 S:35, I:2, D:52
S-12D Kaldi 1 0.358 S:32, I:5, D:21
S-12D Google 2 0.4167 S:18, I:0, D:22
S-12D Kaldi 2 0.2917 S:9, I:4, D:15
S-12D Google 3 0.5833 S:28, I:0, D:28
S-12D Kaldi 3 0.3333 S:15, I:1, D:16
S-12D Google 4 0.4293 S:40, I:0, D:42
S-12D Kaldi 4 0.2356 S:30, I:1, D:14
S-12D Google 5 0.5476 S:37, I:1, D:54
S-12D Kaldi 5 0.3452 S:32, I:1, D:25
S-18B Google 0 0.405 S:42, I:2, D:86
S-18B Kaldi 0 0.2679 S:53, I:9, D:24
S-18B Google 1 0.3388 S:29, I:1, D:53
S-18B Kaldi 1 0.1959 S:26, I:8, D:14
S-18B Google 2 0.4043 S:32, I:3, D:41
S-18B Kaldi 2 0.2234 S:31, I:6, D:5
S-18B Google 3 0.3925 S:47, I:4, D:53
S-18B Kaldi 3 0.2226 S:37, I:9, D:13
S-18B Google 4 0.3163 S:34, I:4, D:55
S-18B Kaldi 4 0.2551 S:36, I:12, D:27
S-18B Google 5 0.2973 S:34, I:3, D:51
S-18B Kaldi 5 0.1419 S:22, I:8, D:12
S-18B Google 6 0.2656 S:16, I:0, D:18
S-18B Kaldi 6 0.1719 S:10, I:3, D:9
S-18B Google 7 0.3102 S:34, I:7, D:26
S-18B Kaldi 7 0.1806 S:24, I:5, D:10
S-18B Google 8 0.4043 S:7, I:0, D:12
S-18B Kaldi 8 0.2979 S:6, I:0, D:8
S-18B Google 9 0.7143 S:5, I:3, D:2
S-18B Kaldi 9 0.5 S:5, I:2, D:0
S-18B Google 10 0.3171 S:8, I:0, D:18
S-18B Kaldi 10 0.3171 S:17, I:6, D:3
S-18B Google 11 0.3468 S:35, I:2, D:23
S-18B Kaldi 11 0.237 S:23, I:10, D:8
S-26B Google 0 0.4021 S:13, I:0, D:26
S-26B Kaldi 0 0.268 S:18, I:1, D:7
S-26B Google 1 0.3787 S:37, I:0, D:66
S-26B Kaldi 1 0.2794 S:46, I:11, D:19
S-26B Google 2 0.4172 S:70, I:5, D:46
S-26B Kaldi 2 0.2586 S:48, I:13, D:14
S-26B Google 3 0.4837 S:35, I:1, D:38
S-26B Kaldi 3 0.3922 S:36, I:8, D:16
S-26B Google 4 0.3948 S:59, I:6, D:57
S-26B Kaldi 4 0.2168 S:39, I:3, D:25
S-26B Google 5 0.5235 S:124, I:2, D:97
S-26B Kaldi 5 0.4014 S:100, I:8, D:63
S-26B Google 6 0.3246 S:17, I:2, D:43
S-26B Kaldi 6 0.2513 S:33, I:2, D:13
S-26B Google 7 0.2778 S:15, I:0, D:15
S-26B Kaldi 7 0.2963 S:24, I:4, D:4
S-26B Google 8 0.3571 S:20, I:6, D:19
S-26B Kaldi 8 0.246 S:13, I:6, D:12
S-26B Google 9 0.3438 S:8, I:0, D:3
S-26B Kaldi 9 0.3438 S:8, I:1, D:2
S-26B Google 10 0.5421 S:35, I:1, D:22
S-26B Kaldi 10 0.3832 S:28, I:2, D:11
S-26B Google 11 0.4615 S:0, I:0, D:6
S-26B Kaldi 11 0.3077 S:2, I:0, D:2
S-30B Google 0 0.4327 S:37, I:2, D:67
S-30B Kaldi 0 0.3265 S:50, I:6, D:24
S-30B Google 1 0.4186 S:13, I:1, D:58
S-30B Kaldi 1 0.3198 S:41, I:6, D:8
S-30B Google 2 0.2713 S:23, I:1, D:65
S-30B Kaldi 2 0.2012 S:39, I:5, D:22
S-30B Google 3 0.2784 S:25, I:0, D:51
S-30B Kaldi 3 0.2161 S:40, I:2, D:17
S-30B Google 4 0.3352 S:50, I:1, D:127
S-30B Kaldi 4 0.2787 S:74, I:6, D:68
S-30B Google 5 0.3064 S:51, I:4, D:112
S-30B Kaldi 5 0.222 S:75, I:6, D:40
S-30B Google 6 0.2794 S:1, I:0, D:18
S-30B Kaldi 6 0.2794 S:10, I:0, D:9
S-30B Google 7 0.314 S:10, I:0, D:17
S-30B Kaldi 7 0.2442 S:14, I:4, D:3
S-30B Google 8 0.375 S:1, I:0, D:14
S-30B Kaldi 8 0.3 S:8, I:1, D:3
S-30B Google 9 0.4915 S:10, I:0, D:19
S-30B Kaldi 9 0.1525 S:7, I:0, D:2
S-30B Google 10 0.6098 S:5, I:0, D:20
S-30B Kaldi 10 0.3659 S:11, I:0, D:4
S-30B Google 11 0.3788 S:4, I:1, D:20
S-30B Kaldi 11 0.2879 S:9, I:3, D:7
S-2B Google 0 0.563 S:14, I:0, D:53
S-2B Kaldi 0 0.4034 S:33, I:1, D:14
S-2B Google 1 0.6623 S:28, I:0, D:72
S-2B Kaldi 1 0.5497 S:42, I:3, D:38
S-2B Google 2 0.5693 S:135, I:7, D:158
S-2B Kaldi 2 0.4099 S:118, I:17, D:81
S-2B Google 3 0.4811 S:39, I:0, D:50
S-2B Kaldi 3 0.3351 S:37, I:1, D:24
S-2B Google 4 0.4949 S:83, I:2, D:111
S-2B Kaldi 4 0.3939 S:98, I:4, D:54
S-2B Google 5 0.5405 S:97, I:4, D:179
S-2B Kaldi 5 0.3263 S:85, I:3, D:81
S-17A Google 0 0.3353 S:74, I:6, D:89
S-17A Kaldi 0 0.2004 S:68, I:10, D:23
S-17A Google 1 0.2696 S:77, I:9, D:79
S-17A Kaldi 1 0.1552 S:58, I:10, D:27
S-17A Google 2 0.2166 S:27, I:5, D:41
S-17A Kaldi 2 0.095 S:22, I:3, D:7
S-17A Google 3 0.2948 S:105, I:4, D:77
S-17A Kaldi 3 0.1632 S:62, I:15, D:26
S-17A Google 4 0.2859 S:97, I:6, D:90
S-17A Kaldi 4 0.1393 S:60, I:6, D:28
S-17A Google 5 0.3009 S:43, I:0, D:62
S-17A Kaldi 5 0.1433 S:29, I:3, D:18
S-17A Google 6 0.3407 S:58, I:6, D:29
S-17A Kaldi 6 0.1685 S:32, I:9, D:5
S-17A Google 7 0.3695 S:108, I:11, D:82
S-17A Kaldi 7 0.1985 S:58, I:12, D:38
S-17A Google 8 0.2905 S:31, I:4, D:35
S-17A Kaldi 8 0.1162 S:19, I:2, D:7
S-17A Google 9 0.2585 S:50, I:3, D:53
S-17A Kaldi 9 0.1488 S:38, I:3, D:20
S-17A Google 10 0.1837 S:52, I:8, D:48
S-17A Kaldi 10 0.1156 S:36, I:9, D:23
S-17A Google 11 0.2065 S:12, I:0, D:7
S-17A Kaldi 11 0.1413 S:9, I:1, D:3
S-15C Google 0 0.3514 S:38, I:5, D:48
S-15C Kaldi 0 0.2124 S:41, I:7, D:7
S-15C Google 1 0.2847 S:34, I:3, D:43
S-15C Kaldi 1 0.2064 S:35, I:7, D:16
S-15C Google 2 0.329 S:33, I:4, D:39
S-15C Kaldi 2 0.2381 S:31, I:7, D:17
S-15C Google 3 0.2817 S:28, I:1, D:42
S-15C Kaldi 3 0.2024 S:35, I:2, D:14
S-15C Google 4 0.1963 S:37, I:3, D:55
S-15C Kaldi 4 0.1405 S:39, I:13, D:16
S-15C Google 5 0.3683 S:61, I:4, D:79
S-15C Kaldi 5 0.2123 S:48, I:2, D:33
S-15C Google 6 0.3824 S:6, I:1, D:6
S-15C Kaldi 6 0.5 S:12, I:2, D:3
S-15C Google 7 0.5556 S:30, I:10, D:30
S-15C Kaldi 7 0.3889 S:18, I:21, D:10
S-15C Google 8 0.197 S:33, I:3, D:29
S-15C Kaldi 8 0.1909 S:28, I:19, D:16
S-24D Google 0 0.4981 S:60, I:0, D:70
S-24D Kaldi 0 0.2989 S:52, I:4, D:22
S-24D Google 1 0.4149 S:45, I:4, D:68
S-24D Kaldi 1 0.234 S:31, I:6, D:29
S-24D Google 2 0.4455 S:97, I:9, D:74
S-24D Kaldi 2 0.2673 S:54, I:13, D:41
S-24D Google 3 0.3654 S:96, I:2, D:88
S-24D Kaldi 3 0.2593 S:81, I:13, D:38
S-24D Google 4 0.4042 S:124, I:3, D:143
S-24D Kaldi 4 0.2216 S:87, I:25, D:36
S-24D Google 5 0.4337 S:118, I:7, D:104
S-24D Kaldi 5 0.2595 S:71, I:16, D:50
S-24D Google 6 0.4494 S:17, I:0, D:23
S-24D Kaldi 6 0.2022 S:10, I:0, D:8
S-24D Google 7 0.5075 S:23, I:1, D:10
S-24D Kaldi 7 0.3881 S:15, I:7, D:4
S-24D Google 8 0.2615 S:5, I:0, D:12
S-24D Kaldi 8 0.2 S:7, I:1, D:5
S-24D Google 9 0.5476 S:52, I:2, D:38
S-24D Kaldi 9 0.3274 S:34, I:15, D:6
S-24D Google 10 0.4483 S:16, I:0, D:23
S-24D Kaldi 10 0.1954 S:10, I:3, D:4
S-24D Google 11 0.4783 S:23, I:1, D:31
S-24D Kaldi 11 0.3391 S:24, I:3, D:12
Kaldi Avg: 0.2681505928853755 Google Avg: 0.398101976284585 Kaldi std: 0.09831312065703324 Google std: 0.11513663903496668. paired t test, p-value 1.5651514010301434e-86,     test statistics 30.490426551048387, Kaldi has better accuracy than the other!
